11/01/21 0:48
Données du projet

                           	Segments	 Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   12674	67398	                   409448	                   459901	                98	
Restants :                 	    5528	34058	                   215982	                   242093	                96	
Segments uniques :         	    7138	54367	                   296009	                   338948	                98	
Segments uniques restants :	    2163	23856	                   126636	                   147117	                96	


Statistiques par fichiers :

Nom du fichier                                                      	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
Release/scenario_dlc/DigitalAge/Software Giant.txt                  	            60	               52	               7	                        7	       281	          268	         110	                  110	                           1883	                              1789	                              637	                                       637	                           2056	                              1957	                              732	                                       732	
Release/scenario_dlc/Subsidiary/Industry_Dominance.txt              	            57	               50	              15	                       15	       275	          263	         147	                  147	                           1827	                              1741	                              875	                                       875	                           2001	                              1910	                              990	                                       990	
Release/scenario_dlc/Subsidiary/Strategic_Positioning.txt           	            62	               54	              17	                       17	       373	          358	         198	                  198	                           2264	                              2160	                             1049	                                      1049	                           2532	                              2422	                             1216	                                      1216	
Release/scenario_dlc/Subsidiary/Success_in_IPO.txt                  	            59	               51	              13	                       13	       342	          327	         199	                  199	                           2056	                              1952	                             1027	                                      1027	                           2295	                              2185	                             1201	                                      1201	
Release/scenario_dlc/Subsidiary/Supercharging_ROI.txt               	            58	               50	              14	                       14	       326	          311	         191	                  191	                           2097	                              1993	                             1109	                                      1109	                           2321	                              2211	                             1272	                                      1272	
Release/scenario_dlc/Subsidiary/The_Master_of_Capital.txt           	            60	               53	              15	                       15	       316	          304	         164	                  164	                           2022	                              1936	                              967	                                       967	                           2233	                              2142	                             1101	                                      1101	
Release/script/autosave every 10 days.txt                           	             6	                4	               4	                        3	        28	           27	          25	                   25	                            253	                               145	                              231	                                       131	                            273	                               165	                              250	                                       150	
Release/script/autosave every 15 minutes.txt                        	             6	                4	               3	                        3	        34	           33	          31	                   31	                            281	                               173	                              159	                                       159	                            307	                               199	                              184	                                       184	
Release/script/sample scripts/sample_script_challenge_game.txt      	            11	               10	               7	                        7	        78	           77	          67	                   67	                            446	                               438	                              384	                                       384	                            512	                               504	                              445	                                       445	
Release/script/sample scripts/sample_script_cities.txt              	            31	               26	              20	                       19	       215	          204	         185	                  181	                           1052	                               973	                              883	                                       858	                           1222	                              1139	                             1042	                                      1015	
Release/script/sample scripts/sample_script_competitors.txt         	            51	               49	              37	                       37	       372	          370	         318	                  318	                           2290	                              2269	                             1951	                                      1951	                           2602	                              2581	                             2235	                                      2235	
Release/script/sample scripts/sample_script_environment.txt         	            50	               48	              39	                       39	       377	          375	         342	                  342	                           1981	                              1960	                             1759	                                      1759	                           2294	                              2273	                             2057	                                      2057	
Release/script/sample scripts/sample_script_goals.txt               	            55	               51	              35	                       35	       348	          339	         307	                  307	                           2052	                              2001	                             1550	                                      1550	                           2321	                              2265	                             1800	                                      1800	
Release/script/sample scripts/sample_script_main_goal.txt           	            72	               68	              46	                       46	       469	          460	         409	                  409	                           3026	                              2975	                             2286	                                      2286	                           3408	                              3352	                             2637	                                      2637	
Release/script/sample scripts/sample_script_player_expertise.txt    	            17	               16	              14	                       14	       133	          132	         101	                  101	                            716	                               708	                              567	                                       567	                            827	                               819	                              648	                                       648	
